TrialNumber,Trialn,Feedback,ITI,Partner,BlockType,Blockn,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,0.750000,1,1,1,1.0,0.0,4.05038,8.0,4.71093,0.660545,8.0,8.06559,9.09135,5.04097,9.09168,9.85839
2,2,1,0.750000,1,1,1,1.0,1.0,9.86347,2.0,10.4609,0.597402,2.0,13.8791,14.8924,5.02893,14.8927,15.6593
3,3,1,0.750000,1,1,1,1.0,2.0,15.6644,--,--,--,--,--,--,--,--,--
4,4,1,0.750000,1,1,1,0.0,--,--,--,--,--,--,--,--,--,--,--
5,5,2,0.750000,1,1,1,0.0,--,--,--,--,--,--,--,--,--,--,--
6,6,1,0.750000,1,1,1,0.0,--,--,--,--,--,--,--,--,--,--,--
7,7,2,0.750000,1,1,1,0.0,--,--,--,--,--,--,--,--,--,--,--
8,8,1,12,1,1,1,0.0,--,--,--,--,--,--,--,--,--,--,--
9,9,3,0.750000,3,5,2,0.0,--,--,--,--,--,--,--,--,--,--,--
10,10,1,0.750000,3,5,2,0.0,--,--,--,--,--,--,--,--,--,--,--
11,11,1,0.750000,3,5,2,0.0,--,--,--,--,--,--,--,--,--,--,--
12,12,1,0.750000,3,5,2,0.0,--,--,--,--,--,--,--,--,--,--,--
13,13,1,0.750000,3,5,2,0.0,--,--,--,--,--,--,--,--,--,--,--
14,14,1,0.750000,3,5,2,0.0,--,--,--,--,--,--,--,--,--,--,--
15,15,2,0.750000,3,5,2,0.0,--,--,--,--,--,--,--,--,--,--,--
16,16,1,8,3,5,2,0.0,--,--,--,--,--,--,--,--,--,--,--
17,17,3,0.750000,3,6,3,0.0,--,--,--,--,--,--,--,--,--,--,--
18,18,3,0.750000,3,6,3,0.0,--,--,--,--,--,--,--,--,--,--,--
19,19,3,0.750000,3,6,3,0.0,--,--,--,--,--,--,--,--,--,--,--
20,20,3,0.750000,3,6,3,0.0,--,--,--,--,--,--,--,--,--,--,--
21,21,1,0.750000,3,6,3,0.0,--,--,--,--,--,--,--,--,--,--,--
22,22,3,0.750000,3,6,3,0.0,--,--,--,--,--,--,--,--,--,--,--
23,23,2,0.750000,3,6,3,0.0,--,--,--,--,--,--,--,--,--,--,--
24,24,3,10,3,6,3,0.0,--,--,--,--,--,--,--,--,--,--,--
25,25,1,0.750000,3,5,4,0.0,--,--,--,--,--,--,--,--,--,--,--
26,26,1,0.750000,3,5,4,0.0,--,--,--,--,--,--,--,--,--,--,--
27,27,3,0.750000,3,5,4,0.0,--,--,--,--,--,--,--,--,--,--,--
28,28,2,0.750000,3,5,4,0.0,--,--,--,--,--,--,--,--,--,--,--
29,29,1,0.750000,3,5,4,0.0,--,--,--,--,--,--,--,--,--,--,--
